mark1_id,mark2_id,mark1_wordmark,mark2_wordmark,mark1_status,mark2_status,label,pair_type,mark1_wordmark_en,mark1_wordmark_ha,mark1_wordmark_yo,mark2_wordmark_en,mark2_wordmark_ha,mark2_wordmark_yo,mark1_length,mark2_length,length_diff,visual_levenshtein,visual_jaro_winkler,soundex_match,metaphone_match,semantic_similarity_en,semantic_similarity_ha,semantic_similarity_yo
,,DI FIORI,NEW OLD GREEN,,,0,negative,DI FIORI,DI FIORI,DI FIORI,NEW OLD GREEN,sabon TSOHUWAR GREEN,títun Ògbólógbòó ALAWE,8,13,5,11,0.5352564102564102,0,0,0.3251195251941681,0.3882739543914795,0.7284080982208252
927337479,907353355.0,Apoio Cred Soluvﬂvµes Financeiras,APOIO PROMOTORA DE CREDITO E SEGUROS,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,Support for Credit Financial Solutions,Taimako domin Kiredit Kuɗi Magani,Atilẹyin fun Kirẹditi Olowo Awọn ojutu,CREDIT AND INSURANCE PROMOTER SUPPORT,Kiredit KUMA INSURANCE MAI GABATARWA Taimako,Kirẹditi ATI Iṣeduro ALAGBEKA Atilẹyin,33,36,3,34,0.3634680134680135,0,0,0.7682755589485168,0.8014693856239319,0.7254966497421265
,,PSI Capital Porto,Pv≈TIO,,,0,negative,PSI Capital Porto,PSI Babban birni Porto,PSI Olu Porto,Pv≈TIO,Pv TIO,Pv TIO,17,6,11,16,0.48366013071895425,0,0,0.35259637236595154,0.3504047989845276,0.4753965735435486
,,REVITA ENGENHARIA,OKAN,,,0,negative,REVITA ENGENHARIA,REVITA ENJERIYA,REVITA ENGANHARIA,OKAN,Okan,Okan,17,4,13,15,0.5392156862745098,0,0,0.6103322505950928,0.5689824819564819,0.65338134765625
927359669,919306675.0,FERTEC - FERROUS TECHNOLOGY MINERAv·v…O,FERTECK FERRAGENS,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,FERTEC - FERROUS TECHNOLOGY MINERAv·v…O,FERTEC TSORO FASAHA MINERAv v O,FERTEC IFÁ Imọ-ẹrọ MINERAv v O,FERTECK HARDWARE,FERTECK HARDWARE,FERTECK HARDWARE,39,17,22,26,0.8400603318250377,1,0,0.6802700161933899,0.5731058716773987,0.5401579141616821
927345269,904198634.0,LOJA NINO,NINO AQUECEDORES,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,NINO STORE,NINO shago,NINO ṣọ́ọ̀bù,NINO HEATER,NINO ZANGO,NINO AGBANA,9,16,7,13,0.595568783068783,0,0,0.26960283517837524,0.7495492696762085,0.8018578886985779
927332272,830672478.0,REAL GESSO DRYWALL,CIMENTO REAL,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,REAL PLASTER DRYWALL,GASKIYA PLASTER DRYWALL,ODODO Pilasita ÒGÚN,REAL CEMENT,GASKIYA CEMENT,ODODO Simẹnti,18,12,6,12,0.5145502645502645,0,0,0.5533333420753479,0.5337513089179993,0.8232587575912476
,,DESIGN DE VENDAS,GEOMIX FUNDAv·vÔES E CONSTRUv·vÔES,,,0,negative,SALES DESIGN,SALLAR Zane,TITA Apẹrẹ,GEOMIX FUNDAv·vÔES AND CONSTRUv·vÔES,GEOMIX FUNDAv vÔES KUMA CONSTRUv vÔES,GEOMIX FUNDAv vÔES ATI CONSTRUv vÔES,16,34,18,27,0.6034125188536953,0,0,0.12313847988843918,0.29932519793510437,0.4221799373626709
,,FERTECO,Torta na Mv£o,,,0,negative,FERTECO,FERTECO,FERTECO,Pie at Mv£o,Kek a Mv O,Pie ni Mv O,7,13,6,13,0.40659340659340665,0,0,0.5616863369941711,0.5351054072380066,0.6423001885414124
927359669,820243914.0,FERTEC - FERROUS TECHNOLOGY MINERAv·v…O,FERTECO,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,FERTEC - FERROUS TECHNOLOGY MINERAv·v…O,FERTEC TSORO FASAHA MINERAv v O,FERTEC IFÁ Imọ-ẹrọ MINERAv v O,FERTECO,FERTECO,FERTECO,39,7,32,32,0.8358974358974359,1,0,0.5069128274917603,0.6679611206054688,0.5787078142166138
,,SKINLAB COSMv‚TICOS,vÁv·AR,,,0,negative,SKINLAB COSMv‚TICOS,SKINLAB COSMv TICOS,SKINLAB COSMv TICOS,vÁv·AR,vÁv AR,vÁv AR,19,6,13,18,0.4064327485380117,0,0,0.3408355116844177,0.32252204418182373,0.3225221335887909
927331403,922919470.0,ELLUXE JOIAS,Elluxo jóias,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,ELLUXE JEWELRY,ELLUXE KAYAN ADO,ELLUXE IGBAGBÜ,Elluxo jewelry,Elluxo KAYAN ADO,Elluxo IGBAGBÜ,12,12,0,10,0.4444444444444444,1,1,0.7480449676513672,0.9411442875862122,0.944824755191803
,,Apoio Cred Soluvﬂvµes Financeiras,Elluxo jóias,,,0,negative,Support for Credit Financial Solutions,Taimako domin Kiredit Kuɗi Magani,Atilẹyin fun Kirẹditi Olowo Awọn ojutu,Elluxo jewelry,Elluxo KAYAN ADO,Elluxo IGBAGBÜ,33,12,21,27,0.45562770562770566,0,0,0.03344264626502991,0.6864452362060547,0.5768111348152161
927298694,913814369.0,Enna moda,E N N A,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,Enna fashion,Enna salo,Enna aṣa,E N N A,E N N A,E N N A,9,7,2,7,0.5026455026455027,0,0,0.4468900263309479,0.645583987236023,0.5511461496353149
927315629,918229308.0,DIGNOS DOCE,Digno Tempero Natural,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,SWEET WORTHY,MAI DADI KYAUTA,DUN OHUN,Worthy Natural Seasoning,KYAUTA na halitta Kayan yaji,OHUN àdáyébá Igba,11,21,10,19,0.42568542568542567,0,0,0.3453749418258667,0.7932461500167847,0.6486074328422546
,,icar,BRAZIL REAL,,,0,negative,icar,icar,icar,REAL BRAZIL,GASKIYA BRAZIL,ODODO BRAZIL,4,11,7,11,0.0,0,0,0.2545124590396881,0.32325688004493713,0.3327828049659729
927338726,903389240.0,Fly imoveis,FLYVILLE,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,Fly real estate,Tashi GASKIYA dukiya,Fo ODODO ohun ini,FLYVILLE,FLYVILLE,FLYVILLE,11,8,3,10,0.4053030303030303,0,0,0.5768367052078247,0.22102101147174835,0.2768954932689667
927321700,921050682.0,Poison,POISON VIVIANE ARRUDA,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,Poison,Guba,Majele,POISON VIVIANE ARRUDA,Guba VIVIAN ARRUDA,Majele VIVIANE ARRUDA,6,21,15,20,0.4047619047619047,0,0,0.3444153964519501,0.8662350177764893,0.812614917755127
927344521,901503134.0,UNA PLANEJADOS,UNNA,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,UNE PLANNED,UNE SHIRYA,UNE PETO,UNNA,UNNA,UNNA,14,4,10,10,0.6785714285714285,0,0,0.6042343378067017,0.6685513854026794,0.5309503674507141
927295601,840804938.0,Pv≈TIO CRIATIVO,Pv≈TIO,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,Pv≈CREATIVE UNCLE,Pv HALITTA KANE,Pv ELEDA ÀGBÀGBÀ,Pv≈TIO,Pv TIO,Pv TIO,15,6,9,9,0.88,0,0,0.592435359954834,0.5589803457260132,0.6027460098266602
,,Avﬂav na mv£o Delivery,DIGNA PIZZA,,,0,negative,Avﬂav at mv£o Delivery,Avflav a Mv O Bayarwa,Afflav ni Mv O Ifijiṣẹ,WORTHY PIZZA,KYAUTA PIZZA,OHUN PIZZA,22,11,11,21,0.42424242424242425,0,0,0.13235057890415192,0.29167765378952026,0.31991279125213623
927378809,903888637.0,vÁv·AR,icar,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,vÁv·AR,vÁv AR,vÁv AR,icar,icar,icar,6,4,2,6,0.0,0,0,0.5796570777893066,0.6393617987632751,0.6393618583679199
926896288,827670737.0,ECP CONTABILIDADE,ECP ECP CONTABILIDADE PANTANO,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,ECP CONTABILIDADE,ECP CONTABILIDADE,ECP CONTABILIDADE,ECP ECP CONTABILIDADE PANTANO,ECP ECP CONTABILIDADE PANTANO,ECP ECP CONTABILIDADE PANTANO,17,29,12,12,0.8466531440162273,1,0,0.9136332273483276,0.9136332273483276,0.9136332273483276
,,OFFER % TV,FERTEC - FERROUS TECHNOLOGY MINERAv·v…O,,,0,negative,OFFER %TV,BAYANI TV,Ìfilọ TV,FERTEC - FERROUS TECHNOLOGY MINERAv·v…O,FERTEC TSORO FASAHA MINERAv v O,FERTEC IFÁ Imọ-ẹrọ MINERAv v O,10,39,29,34,0.5433760683760683,0,0,0.06227812170982361,0.32564109563827515,0.3729856610298157
927274078,811072215.0,PSI Capital Porto,PSI,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,PSI Capital Porto,PSI Babban birni Porto,PSI Olu Porto,PSI,PSI,PSI,17,3,14,14,0.807843137254902,0,0,0.469868928194046,0.46883076429367065,0.551982045173645
,,ALTAS HORAS BEBIDAS E CONVENIv‰NCIA,JAZZ IMOBILIv≈RIA,,,0,negative,HIGH DRINKING HOURS AND CONVENIENCE,MAI GIRMA SHA HOURS KUMA DAFATAN,GIGA MIMU WAKATI ATI IWURE,JAZZ IMOBILIv≈RIA,JAZZ IMOBILIv RIA,JAZZ IMOBILIv RIA,35,17,18,27,0.48440709617180205,0,0,0.0994359701871872,0.4597257971763611,0.48583126068115234
927332272,830672460.0,REAL GESSO DRYWALL,REAL CIMENTO,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,REAL PLASTER DRYWALL,GASKIYA PLASTER DRYWALL,ODODO Pilasita ÒGÚN,REAL CEMENT,GASKIYA CEMENT,ODODO Simẹnti,18,12,6,13,0.6574074074074074,0,0,0.5533333420753479,0.5337513089179993,0.8232587575912476
927274078,901966908.0,PSI Capital Porto,PSI www.practical.com.br,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,PSI Capital Porto,PSI Babban birni Porto,PSI Olu Porto,PSI www.practical.com.br,PSI www m com br,PSI www wulo com br,17,24,7,15,0.6519607843137255,0,0,0.3910531997680664,0.5685365796089172,0.5217406153678894
927356163,912313145.0,JAZZ IMOBILIv≈RIA,Imobiliv∞ria Jazz.com,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,JAZZ IMOBILIv≈RIA,JAZZ IMOBILIv RIA,JAZZ IMOBILIv RIA,Imobiliv∞ria Jazz.com,IMOBILIv RIA JAZZ com,IMOBILIv RIA JAZZ com,17,21,4,21,0.32866479925303455,0,0,0.8251363635063171,0.9522085189819336,0.9522084593772888
927338726,923845674.0,Fly imoveis,FLY HOUSE SOLUv·vÔES IMOBILIv≈RIAS,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,Fly real estate,Tashi GASKIYA dukiya,Fo ODODO ohun ini,FLY HOUSE REAL ESTATE SOLUTIONS,Tashi Gida GASKIYA dukiya Magani,Fo Ile ODODO ohun ini Awọn ojutu,11,34,23,31,0.45365418894830656,0,0,0.7151123285293579,0.936793327331543,0.9179881811141968
927285967,922268819.0,EMPRESA LUCRATIVA 2X,EMPRESA MAIS LUCRATIVA,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,2X PROFITABLE COMPANY,2X RIBA kamfani,2X ERE ilé-iṣẹ́,MOST PROFITABLE COMPANY,MAFI YAWA RIBA kamfani,Julọ ERE ilé-iṣẹ́,20,22,2,8,0.8880808080808081,0,0,0.6678057312965393,0.46995019912719727,0.49788856506347656
927346303,925612367.0,PAGPOKO CALv·ADOS,Lojas Paga Pouco,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,PAGPOKO CALv·ADOS,PAGPOKO CALv ADOS,PAGPOKO CALv ADOS,Stores Pay Little,Stores Biya Kadan,Awọn ile itaja Sanwo Kekere,17,16,1,17,0.24754901960784315,0,0,0.02067301608622074,0.4891185462474823,0.5486409068107605
,,OKAN,NEW OLD GREEN,,,0,negative,OKAN,Okan,Okan,NEW OLD GREEN,sabon TSOHUWAR GREEN,títun Ògbólógbòó ALAWE,4,13,9,11,0.3846153846153846,0,0,0.3770734369754791,0.39653220772743225,0.7282116413116455
927305186,911360271.0,Design Vende,DESIGN DE VENDAS,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,Design Sells,Zane Yana sayarwa,Apẹrẹ Tita,SALES DESIGN,SALLAR Zane,TITA Apẹrẹ,12,16,4,13,0.4791666666666667,0,0,0.8443124294281006,0.741938591003418,0.9167880415916443
,,Maria papeleira livraria e papelaria desde 2004,OKAN,,,0,negative,Maria Papeleira bookstore and stationery since 2004,Mariya Papeleira kantin sayar da littattafai KUMA kayan aikin rubutu tun 2004,Maria Papeleira ile itaja iwe ATI ohun elo ikọwe niwon Ọdun 2004,OKAN,Okan,Okan,47,4,43,47,0.0,0,0,0.13451892137527466,0.2655527591705322,0.4353172481060028
927325489,826468748.0,INSTITUTO FAMvÁLIA PONCIO - DE FAMvÁLIA PARA FAMvÁLIA,INSTITUTO DA FAMvÁLIA,Pedido de registro de marca indeferido,Aguardando exame de petivﬂv£o de prorrogavﬂv£o (registro de marca em vigor),1,positive,FAMvÁLIA PONCIO INSTITUTE - FROM FAMILY TO FAMILY,FAMvÁLIA PONCIO INSTITUTE DAGA IYALI TO IYALI,FAMvÁLIA PONCIO IPINLE LATI Ìdílé LATI Ìdílé,FAMILY INSTITUTE,IYALI INSTITUTE,Ìdílé IPINLE,53,21,32,32,0.8411500449236298,0,0,0.78066086769104,0.8321738243103027,0.6787278652191162
,,Maria papeleira livraria e papelaria desde 2004,LeOffer,,,0,negative,Maria Papeleira bookstore and stationery since 2004,Mariya Papeleira kantin sayar da littattafai KUMA kayan aikin rubutu tun 2004,Maria Papeleira ile itaja iwe ATI ohun elo ikọwe niwon Ọdun 2004,LeOffer,LeOffer,LeOffer,47,7,40,44,0.3863559608240459,0,0,0.24277037382125854,0.14031758904457092,0.2723783254623413
,,CANTINETTA DEI FIORI,PLUSH POISON,,,0,negative,CANTINETTA DEI FIORI,CANTINETTA DEI FIORI,CANTINETTA DEI FIORI,PLUSH POISON,PLUSH Guba,PLUSH Majele,20,12,8,17,0.42777777777777776,0,0,0.5925021171569824,0.4177314043045044,0.7326680421829224
,,DE FAMvÁLIA PARA FAMvÁLIA,NEW OLD,,,0,negative,FROM FAMILY TO FAMILY,DAGA IYALI TO IYALI,LATI Ìdílé LATI Ìdílé,NEW OLD,sabon TSOHUWAR,títun Ògbólógbòó,25,7,18,22,0.41047619047619044,0,0,0.34196704626083374,0.4968954920768738,0.7463462948799133
,,Pv≈TIO CRIATIVO,CIMENTO REAL,,,0,negative,Pv≈CREATIVE UNCLE,Pv HALITTA KANE,Pv ELEDA ÀGBÀGBÀ,REAL CEMENT,GASKIYA CEMENT,ODODO Simẹnti,15,12,3,12,0.5777777777777778,0,0,0.11312238872051239,0.4242081046104431,0.794765830039978
927321912,924838922.0,Torta na Mv£o,Avﬂav na mv£o Delivery,Aguardando apresentavﬂv£o e exame de recurso contra o indeferimento,Registro de marca em vigor,1,positive,Pie at Mv£o,Kek a Mv O,Pie ni Mv O,Avﬂav at mv£o Delivery,Avflav a Mv O Bayarwa,Afflav ni Mv O Ifijiṣẹ,13,22,9,15,0.5346736596736598,0,0,0.24535322189331055,0.2797205448150635,0.7248993515968323
,,AVENUE COSMETICS,OKAN,,,0,negative,AVENUE COSMETICS,HANYA KOSMETICS,ONA Ohun ikunra,OKAN,Okan,Okan,16,4,12,15,0.5416666666666666,0,0,0.3888598382472992,0.46416014432907104,0.8452663421630859
,,Pv≈TIO,REVITA SILOS MANUTENv·v…O E REVITALIZAv·v…O,,,0,negative,Pv≈TIO,Pv TIO,Pv TIO,REVITA SILOS MAINTENANCEv·v…O AND REVITALIZAv·v…O,REVITA SILOS MAINTENANCEv v O KUMA REVITALIZAv v O,REVITA SILOS MANTENANCEv v O ATI REVITALIZAv v O,6,43,37,39,0.5032299741602068,0,0,0.6049649119377136,0.5267324447631836,0.5816376209259033
927321700,919807119.0,Poison,Peach Poison,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,Poison,Guba,Majele,Peach Poison,Peach Guba,eso pishi Majele,6,12,6,6,0.5,0,0,0.7024198770523071,0.67702716588974,0.7827844619750977
,,ALTAS HORAS BAR E RESTAURANTE,Poison,,,0,negative,HIGH HOURS BAR AND RESTAURANT,MAI GIRMA HOURS BAR KUMA gidan cin abinci,GIGA WAKATI Pẹpẹ ATI ilé oúnjẹ,Poison,Guba,Majele,29,6,23,29,0.0,0,0,0.07571989297866821,0.5751229524612427,0.6261691451072693
,,FLY HOUSE SOLUv·vÔES IMOBILIv≈RIAS,CANTINETTA DEI FIORI,,,0,negative,FLY HOUSE REAL ESTATE SOLUTIONS,Tashi Gida GASKIYA dukiya Magani,Fo Ile ODODO ohun ini Awọn ojutu,CANTINETTA DEI FIORI,CANTINETTA DEI FIORI,CANTINETTA DEI FIORI,34,20,14,28,0.4980392156862745,0,0,0.16830512881278992,0.5622426271438599,0.5457338094711304
,,Lojas Paga Pouco,Poison,,,0,negative,Stores Pay Little,Stores Biya Kadan,Awọn ile itaja Sanwo Kekere,Poison,Guba,Majele,16,6,10,13,0.45138888888888884,0,0,-0.03231363371014595,0.5181225538253784,0.5450441837310791
,,Lojas Paga Pouco,Enna moda,,,0,negative,Stores Pay Little,Stores Biya Kadan,Awọn ile itaja Sanwo Kekere,Enna fashion,Enna salo,Enna aṣa,16,9,7,13,0.48148148148148145,0,0,0.1204802393913269,0.4885239601135254,0.44384074211120605
927315629,903969033.0,DIGNOS DOCE,DIGNA PIZZA,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,SWEET WORTHY,MAI DADI KYAUTA,DUN OHUN,WORTHY PIZZA,KYAUTA PIZZA,OHUN PIZZA,11,11,0,7,0.6363636363636364,0,0,0.4130744934082031,0.3943013846874237,0.4574286639690399
,,Digno Tempero Natural,Icar,,,0,negative,Worthy Natural Seasoning,KYAUTA na halitta Kayan yaji,OHUN àdáyébá Igba,Icar,icar,icar,21,4,17,19,0.43253968253968256,0,0,0.17087244987487793,0.30528587102890015,0.4635463356971741
,,REVITA ENGENHARIA,INSTITUTO DA FAMvÁLIA,,,0,negative,REVITA ENGENHARIA,REVITA ENJERIYA,REVITA ENGANHARIA,FAMILY INSTITUTE,IYALI INSTITUTE,Ìdílé IPINLE,17,21,4,16,0.5755135387488329,0,0,0.3807598650455475,0.571636974811554,0.5736886262893677
,,ECP CONTABILIDADE,FERTEC - FERROUS TECHNOLOGY MINERAv·v…O,,,0,negative,ECP CONTABILIDADE,ECP CONTABILIDADE,ECP CONTABILIDADE,FERTEC - FERROUS TECHNOLOGY MINERAv·v…O,FERTEC TSORO FASAHA MINERAv v O,FERTEC IFÁ Imọ-ẹrọ MINERAv v O,17,39,22,31,0.4815485168426345,0,0,0.2327297329902649,0.2569364905357361,0.2978334426879883
,,SKINLAB COSMv‚TICOS,ALTAS HORAS BAR E RESTAURANTE,,,0,negative,SKINLAB COSMv‚TICOS,SKINLAB COSMv TICOS,SKINLAB COSMv TICOS,HIGH HOURS BAR AND RESTAURANT,MAI GIRMA HOURS BAR KUMA gidan cin abinci,GIGA WAKATI Pẹpẹ ATI ilé oúnjẹ,19,29,10,24,0.5206022719634334,0,0,0.04478951543569565,0.24739977717399597,0.23798738420009613
927352702,912575662.0,Okan Chocolats,OKAN,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,Okan Chocolates,Okan Chocolates,Okan Chocolates,OKAN,Okan,Okan,14,4,10,13,0.44047619047619047,0,0,0.48791971802711487,0.4833889603614807,0.4833889603614807
,,ALTAS HORAS BAR E RESTAURANTE,LOJA NINO,,,0,negative,HIGH HOURS BAR AND RESTAURANT,MAI GIRMA HOURS BAR KUMA gidan cin abinci,GIGA WAKATI Pẹpẹ ATI ilé oúnjẹ,NINO STORE,NINO shago,NINO ṣọ́ọ̀bù,29,9,20,24,0.3607918263090677,0,0,0.4075804352760315,0.630836009979248,0.6840234994888306
,,MERCOPv…O,ECP CONTABILIDADE,,,0,negative,MERCOPv…O,MERCOPv O,MERCOPv O,ECP CONTABILIDADE,ECP CONTABILIDADE,ECP CONTABILIDADE,9,17,8,15,0.47657952069716775,0,0,0.19340834021568298,0.21415860950946808,0.21415859460830688
